"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"F1";"Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Fuse";;;
2;"R12,R14,R20,R15,R18,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
3;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
4;"TH1";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"100k ,B=3950";;;
5;"D4";"TO-277A";1;"ST2045L";;;
6;"C4";"C_0603_1608Metric";1;"1uF";;;
7;"R5,R4";"R_0603_1608Metric";2;"4k7";;;
8;"R13,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100";;;
9;"Q3";"SOT-23";1;"BC547";;;
10;"J5,J10";"TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal";2;"01x03";;;
11;"RV1";"Potentiometer_Bourns_3296X_Horizontal";1;"10k";;;
12;"J6";"TerminalBlock_Xinya_XY845A-9.50-2P_1x02_P9.50mm";1;"01x02";;;
13;"C3,C7";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";2;"6.8uF";;;
14;"MOSFET1";"TO-220-3_Vertical";1;"IRLB8743PBF";;;
15;"Q2,Q1";"SOT-23";2;"CMN2302M";;;
16;"C2,C5,C1,C6";"C_0603_1608Metric";4;"100nF";;;
17;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-17";1;"USB 3.1 Type-C 6";;;
18;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
19;"J8";"TerminalBlock_Xinya_XY845A-9.50-2P_1x02_P9.50mm";1;"LOAD";;;
20;"C16,C13,C15,C10,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100nF";;;
21;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
22;"R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120";;;
23;"SW1,SW2";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";2;"PUSH";;;
24;"FB1";"L_0603_1608Metric";1;"220R @ 100MHz";;;
25;"U3";"INA226";1;"INA226";;;
26;"D5,D1";"SOT-23";2;"TVS_DUAL";;;
27;"J9";"CONN-TH_4P-P2.50_WAFER-XH254WZ-4A";1;"01x04";;;
28;"R17";"R_2816_7142Metric_Pad3.20x4.45mm_HandSolder";1;"3m";;;
29;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32G0B1CBTx";;;
30;"J7";"TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";1;"01x02";;;
31;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0";;;
32;"U5";"TS9121IDT";1;"TS912IDT";;;
33;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
34;"J4";"JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal";1;"01x03";;;
35;"R9,R6";"R_0805_2012Metric";2;"10k";;;
36;"U1";"SOT-23-5";1;"SSP7603P33M5R";;;
37;"J3";"Buzzer_12x9.5RM6.0";1;"01x02";;;
38;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4k7";;;
39;"D3";"D_SOD-323_HandSoldering";1;"RB550V";;;
40;"J2";"JST_GENERIC_5-PIN";1;"01x05";;;
41;"TP10";"TestPoint_Pad_D1.5mm";1;"VBUS";;;
42;"TP5";"TestPoint_Pad_D1.5mm";1;"Vref";;;
43;"C8";"C_0603_1608Metric";1;"4.7uF";;;
44;"TP11";"TestPoint_Pad_D1.5mm";1;"NPN-B";;;
45;"TP8";"TestPoint_Pad_D1.5mm";1;"RX";;;
46;"R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
47;"R7";"R_0603_1608Metric";1;"620";;;
48;"TP6";"TestPoint_Pad_D1.5mm";1;"SCL";;;
49;"TP4";"TestPoint_Pad_D1.5mm";1;"SDA";;;
50;"TP2";"TestPoint_Pad_D1.5mm";1;"Vbus";;;
51;"C12,C11";"C_0805_2012Metric";2;"30pF";;;
52;"TP9";"TestPoint_Pad_D1.5mm";1;"IN-";;;
53;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8MHz";;;
54;"TP7";"TestPoint_Pad_D1.5mm";1;"TX";;;
55;"TP1";"TestPoint_Pad_D1.5mm";1;"5V";;;
56;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
57;"TP16";"TestPoint_Pad_D1.5mm";1;"BIAS-OUT";;;
58;"TP13";"TestPoint_Pad_D1.5mm";1;"NPN-C";;;
59;"TP3";"TestPoint_Pad_D1.5mm";1;"3V3";;;
60;"TP14";"TestPoint_Pad_D1.5mm";1;"BIAS-D";;;
61;"TP12";"TestPoint_Pad_D1.5mm";1;"BIAS-G";;;
